姓名,性别,出生年份,出生地,长度,名,名1,笔画1,偏旁1,拼音1,常用1,名2,笔画2,偏旁2,拼音2,常用2
张楚儿,女,2011,香港,3,楚儿,楚,13,木,chǔ,1,儿,2,儿,ér,1
卜玉坤,男,1957,吉林省九台市,3,玉坤,玉,5,玉,yù,1,坤,8,土,kūn,2
姜锡东,男,1961,山东省平度市,3,锡东,锡,13,钅,xī,1,东,5,一,dōng,1
徐赟涵,女,2010,山东济南,3,赟涵,赟,16,贝,yūn,3,涵,11,氵,hán,2
严稚棱,女,2010,北京,3,稚棱,稚,13,禾,zhì,2,棱,12,木,léng,2
李巧罗,男,1986,湖北长阳土家族自治县,3,巧罗,巧,5,工,qiǎo,1,罗,8,罒,luó,1
潘继武,男,1941,河北省雄县市,3,继武,继,10,纟,jì,1,武,8,止,wǔ,1
唐智刚,男,1964,江西安远,3,智刚,智,12,日,zhì,1,刚,6,刂,gāng,1
杨评防,男,1966,湖南邵东,3,评防,评,7,讠,píng,1,防,6,阝,fáng,1
谈俊忠,男,1964,江苏宜兴人,3,俊忠,俊,9,亻,jùn,1,忠,8,心,zhōng,1
于涌津,男,1967,山东淄博,3,涌津,涌,10,氵,yǒng,1,津,9,氵,jīn,1
王水亮,男,1959,浙江江山,3,水亮,水,4,水,shuǐ,1,亮,9,亠,liàng,1
石国刚,男,1944,天津,3,国刚,国,8,囗,guó,1,刚,6,刂,gāng,1
劳新祥,男,1963,浙江余姚,3,新祥,新,13,斤,xīn,1,祥,10,礻,xiáng,1
陈馨妍,女,2010,浙江 湖州,3,馨妍,馨,20,香,xīn,3,妍,7,女,yán,3
徐茂栋,男,1968,山东日照,3,茂栋,茂,8,艹,mào,1,栋,9,木,dòng,1
曹默,男,1970,吉林省伊通市,2,默,默,16,黑,mò,1,默,0,0,0,0
岩庄尖,男,1985,云南勐海,3,庄尖,庄,6,广,zhuāng,1,尖,6,小,jiān,1
叶华杰,男,1967,海南省昌江县,3,华杰,华,6,十,huá,1,杰,8,木,jié,1
卫祥玉,男,1968,河南济源,3,祥玉,祥,10,礻,xiáng,1,玉,5,玉,yù,1
曼萱,女,2008,上海,2,萱,萱,12,艹,xuān,3,萱,0,0,0,0
李一情,女,2010,江苏省徐州市,3,一情,一,1,一,yī,1,情,11,忄,qíng,1
刘贤谦,男,1954,山西省交口县,3,贤谦,贤,8,贝,xián,1,谦,12,讠,qiān,1
王诗龄,女,2009,北京,3,诗龄,诗,8,讠,shī,1,龄,13,齿,líng,1
郭建安,男,1961,河北唐山,3,建安,建,8,廴,jiàn,1,安,6,宀,ān,1
谭蓓儿,女,2009,北京,3,蓓儿,蓓,13,艹,bèi,3,儿,2,儿,ér,1
邵汶,男,1975,上海市,2,汶,汶,7,氵,wèn,3,汶,0,0,0,0
刘珣,男,1940,江苏兴化,2,珣,珣,10,王,xún,3,珣,0,0,0,0
张楚怡,女,2009,河南省郑州市,3,楚怡,楚,13,木,chǔ,1,怡,8,忄,yí,3
朱学才,男,1949,河南省陈州,3,学才,学,8,子,xué,1,才,3,扌,cái,1
王洪谟,男,1938,山东省莘县人,3,洪谟,洪,9,氵,hóng,1,谟,12,讠,mó,3
杨蒨雯,女,2009,山东威海,3,蒨雯,蒨,13,艹,qiàn,3,雯,12,雨,wén,3
蔡耀昌,男,1966,重庆璧山县,3,耀昌,耀,20,羽,yào,1,昌,8,日,chāng,1
卢献匾,男,1962,广西环江,3,献匾,献,13,犬,xiàn,1,匾,11,匚,biǎn,2
贾淇雯,女,2008,北京,3,淇雯,淇,11,氵,qí,3,雯,12,雨,wén,3
盘思婷,女,2008,广东,3,思婷,思,9,心,sī,1,婷,12,女,tíng,3
陈传根,男,1963,湖北仙桃,3,传根,传,6,亻,chuán,1,根,10,木,gēn,1
楚行宇,男,1964,河北易县,3,行宇,行,6,行,xíng,1,宇,6,宀,yǔ,1
王芊千,女,2008,吉林省九台市,3,芊千,芊,6,艹,qiān,3,千,3,十,qiān,1
曲隽希,女,2008,吉林长春,3,隽希,隽,10,隹,jùn,3,希,7,巾,xī,1
鲁开盛,男,1972,江苏省兴化市,3,开盛,开,4,廾,kāi,1,盛,11,皿,shèng,1
蒋万春,男,1963,广西灌阳,3,万春,万,3,一,wàn,1,春,9,日,chūn,1
胡希成,男,1963,河北黄骅,3,希成,希,7,巾,xī,1,成,6,戈,chéng,1
王巧,女,2006,四川成都,2,巧,巧,5,工,qiǎo,1,巧,0,0,0,0
黄锦朝,男,1956,浙江龙游,3,锦朝,锦,13,钅,jǐn,1,朝,12,月,cháo,1
刘梁剑,男,1975,浙江永嘉县,3,梁剑,梁,11,木,liáng,1,剑,9,刂,jiàn,1
莫世亮,男,1972,广西荔浦县,3,世亮,世,5,一,shì,1,亮,9,亠,liàng,1
鲁胡子,男,1954,湖南桃源,3,胡子,胡,9,月,hú,1,子,3,子,zǐ,1
