姓名,性别,出生年份,出生地,长度,名,名1,笔画1,偏旁1,拼音1,常用1,名2,笔画2,偏旁2,拼音2,常用2
马春瑞,女,1993,甘肃天水,3,春瑞,春,9,日,chūn,1,瑞,13,王,ruì,1
陶寰,男,1968,浙江绍兴,2,寰,寰,16,宀,huán,3,寰,0,0,0,0
凌一凡,男,1983,北京,3,一凡,一,1,一,yī,1,凡,3,几,fán,1
王振力,男,1971,山西黎城县,3,振力,振,10,扌,zhèn,1,力,2,力,lì,1
徐枞巍,男,1956,辽宁省大连市,3,枞巍,枞,8,木,cōng,3,巍,20,山,wēi,2
冯举,男,1948,河北满城县,2,举,举,9,丶,jǔ,1,举,0,0,0,0
鲁继宏,男,1979,云南镇康,3,继宏,继,10,纟,jì,1,宏,7,宀,hóng,1
袁尚勇,男,1965,贵州镇远,3,尚勇,尚,8,小,shàng,1,勇,9,力,yǒng,1
张淇铭,男,1964,江苏宜兴,3,淇铭,淇,11,氵,qí,3,铭,11,钅,míng,2
翟新亮,男,1952,河南太康,3,新亮,新,13,斤,xīn,1,亮,9,亠,liàng,1
蒋睆,男,1993,北京市,2,睆,睆,10,目,huǎn,3,睆,0,0,0,0
郑德涛,男,1950,广东省五华县,3,德涛,德,15,彳,dé,1,涛,10,氵,tāo,1
彭怀忠,男,1964,广西来宾,3,怀忠,怀,7,忄,huái,1,忠,8,心,zhōng,1
王舜来,男,1955,河北,3,舜来,舜,12,夕,shùn,3,来,7,木,lái,1
蔡晨,男,1993,广东广州,2,晨,晨,11,日,chén,1,晨,0,0,0,0
谢达忠,男,1934,广东梅县白渡镇珠坑村,3,达忠,达,6,辶,dá,1,忠,8,心,zhōng,1
孔保宝,男,1961,山西省岢岚县,3,保宝,保,9,亻,bǎo,1,宝,8,宀,bǎo,1
侯宏录,男,1960,陕西扶风,3,宏录,宏,7,宀,hóng,1,录,8,王,lù,1
韩光启,男,1961,辽宁省昌图县,3,光启,光,6,儿,guāng,1,启,7,口,qǐ,1
曾德国,男,1965,四川省仁寿县,3,德国,德,15,彳,dé,1,国,8,囗,guó,1
王宗南,男,1955,上海,3,宗南,宗,8,宀,zōng,1,南,9,十,nán,1
张天付,男,1959,河南新乡,3,天付,天,4,大,tiān,1,付,5,亻,fù,1
夕小曼,女,1993,湖南长沙,3,小曼,小,3,小,xiǎo,1,曼,11,曰,màn,2
张方圆,男,1980,上海,3,方圆,方,4,方,fāng,1,圆,10,囗,yuán,1
沈仕平,男,1956,重庆市忠县,3,仕平,仕,5,亻,shì,3,平,5,干,píng,1
于湉,男,1993,天津市,2,湉,湉,12,氵,tián,3,湉,0,0,0,0
龙克文,男,1981,湖南省新田县,3,克文,克,7,十,kè,1,文,4,文,wén,1
曾华群,男,1952,福建厦门,3,华群,华,6,十,huá,1,群,13,羊,qún,1
姚珍辉,男,1981,贵州省金沙县,3,珍辉,珍,9,王,zhēn,1,辉,12,车,huī,1
张兴益,男,1964,重庆巫溪,3,兴益,兴,6,八,xīng,1,益,10,皿,yì,1
周也棠,女,1993,黑龙江,3,也棠,也,3,乙,yě,1,棠,12,木,táng,2
杨树增,男,1946,内蒙古集宁市,3,树增,树,9,木,shù,1,增,15,土,zēng,1
饶爱民,男,1970,河北,3,爱民,爱,10,爫,ài,1,民,5,氏,mín,1
薛芊芊,女,1993,北京市,3,芊芊,芊,6,艹,qiān,3,芊,6,艹,qiān,3
白坤元,男,1940,上海,3,坤元,坤,8,土,kūn,2,元,4,儿,yuán,1
艾婉冲,女,1993,辽宁沈阳,3,婉冲,婉,11,女,wǎn,2,冲,6,冫,chōng,1
易介中,男,1970,台湾台北,3,介中,介,4,人,jiè,1,中,4,丨,zhōng,1
杰毅,男,1993,云南,2,毅,毅,15,殳,yì,1,毅,0,0,0,0
吴春波,男,1962,山东省,3,春波,春,9,日,chūn,1,波,8,氵,bō,1
赵满堂,男,1960,甘肃天水,3,满堂,满,13,氵,mǎn,1,堂,11,土,táng,1
夏友莲,女,1993,江西,3,友莲,友,4,又,yǒu,1,莲,10,艹,lián,1
史春坡,男,1947,河北乐亭,3,春坡,春,9,日,chūn,1,坡,8,土,pō,1
柴小刚,男,1962,江苏灌云,3,小刚,小,3,小,xiǎo,1,刚,6,刂,gāng,1
胡超群,男,1962,湖南,3,超群,超,12,走,chāo,1,群,13,羊,qún,1
肖作文,男,1962,湖北恩施,3,作文,作,7,亻,zuò,1,文,4,文,wén,1
黎程,男,1973,广东省高州,2,程,程,12,禾,chéng,1,程,0,0,0,0
王镤,男,1993,云南,2,镤,镤,17,钅,pú,3,镤,0,0,0,0
廖宝文,男,1963,广东,3,宝文,宝,8,宀,bǎo,1,文,4,文,wén,1
王允波,男,1963,辽宁沈阳,3,允波,允,4,儿,yǔn,1,波,8,氵,bō,1
杨叔子,男,1933,江西省九江市湖口县,3,叔子,叔,8,又,shū,1,子,3,子,zǐ,1
蔡伯军,男,1971,湖南益阳,3,伯军,伯,7,亻,bó,1,军,6,冖,jūn,1
俞进虎,男,1962,江苏建湖恒济,3,进虎,进,7,辶,jìn,1,虎,8,虍,hǔ,1
李文填,男,1954,广东惠来,3,文填,文,4,文,wén,1,填,13,土,tián,1
张依婷,女,1993,广东省清远市,3,依婷,依,8,亻,yī,1,婷,12,女,tíng,3
冯建基,男,1962,甘肃省和政县,3,建基,建,8,廴,jiàn,1,基,11,土,jī,1
欧爱民,男,1969,湖南省武冈县,3,爱民,爱,10,爫,ài,1,民,5,氏,mín,1
彭坤平,男,1952,四川省达县,3,坤平,坤,8,土,kūn,2,平,5,干,píng,1
杨小吾,男,1944,贵州桐梓,3,小吾,小,3,小,xiǎo,1,吾,7,口,wú,3
吕咸蔚,男,1989,安徽,3,咸蔚,咸,9,口,xián,1,蔚,14,艹,wèi,2
周珂妃,女,1993,山东潍坊,3,珂妃,珂,9,王,kē,3,妃,6,女,fēi,3
高际钦,男,1932,山西大同,3,际钦,际,7,阝,jì,1,钦,9,钅,qīn,2
李贻升,男,1956,湖南涟源,3,贻升,贻,9,贝,yí,3,升,4,十,shēng,1
程殿臣,男,1926,山东省夏津县,3,殿臣,殿,13,殳,diàn,1,臣,6,臣,chén,1
陶承光,男,1955,辽宁沈阳,3,承光,承,8,手,chéng,1,光,6,儿,guāng,1
潘振学,男,1967,广西,3,振学,振,10,扌,zhèn,1,学,8,子,xué,1
王瑞淇,女,1993,浙江绍兴市,3,瑞淇,瑞,13,王,ruì,1,淇,11,氵,qí,3
纪雪莹,女,1993,重庆巫山,3,雪莹,雪,11,雨,xuě,1,莹,10,艹,yíng,2
孟宪毅,男,1939,黑龙江,3,宪毅,宪,9,宀,xiàn,1,毅,15,殳,yì,1
张永潮,男,1964,陕西澄城,3,永潮,永,5,水,yǒng,1,潮,15,氵,cháo,1
翁馨仪,女,1993,台湾,3,馨仪,馨,20,香,xīn,3,仪,5,亻,yí,1
黄囡希,女,1993,香港湾仔区,3,囡希,囡,6,囗,nān,3,希,7,巾,xī,1
牛学兴,男,1964,甘肃临泽,3,学兴,学,8,子,xué,1,兴,6,八,xīng,1
万依妮,女,1993,上海,3,依妮,依,8,亻,yī,1,妮,8,女,nī,3
张颖川,男,1974,四川顺庆,3,颖川,颖,13,页,yǐng,2,川,3,川,chuān,1
石振和,男,1945,天津,3,振和,振,10,扌,zhèn,1,和,8,口,hé,1
华臻臻,女,1993,江苏镇江,3,臻臻,臻,16,至,zhēn,3,臻,16,至,zhēn,3
陈芷澄,女,1993,香港,3,芷澄,芷,7,艹,zhǐ,3,澄,15,氵,chéng,2
费奇,男,1939,江苏吴江,2,奇,奇,8,大,qí,1,奇,0,0,0,0
闫佳颖,女,1993,山西太原,3,佳颖,佳,8,亻,jiā,1,颖,13,页,yǐng,2
靳梦佳,女,1993,河南,3,梦佳,梦,11,木,mèng,1,佳,8,亻,jiā,1
顾祥悦,男,1968,江苏省涟水县,3,祥悦,祥,10,礻,xiáng,1,悦,10,忄,yuè,1
史培刚,男,1967,安徽阜阳,3,培刚,培,11,土,péi,1,刚,6,刂,gāng,1
梁子媛,女,1993,广东阳山,3,子媛,子,3,子,zǐ,1,媛,12,女,yuán,3
沈光继,男,1964,安徽合肥,3,光继,光,6,儿,guāng,1,继,10,纟,jì,1
贾开,男,1993,四川省广元市,2,开,开,4,廾,kāi,1,开,0,0,0,0
崔言顺,男,1959,山东莱芜,3,言顺,言,7,言,yán,1,顺,9,页,shùn,1
赵宇昕,女,1993,天津,3,宇昕,宇,6,宀,yǔ,1,昕,8,日,xīn,3
孔芊芊,女,1993,江西省南昌市,3,芊芊,芊,6,艹,qiān,3,芊,6,艹,qiān,3
肖霆,男,1993,湖北省利川市,2,霆,霆,14,雨,tíng,3,霆,0,0,0,0
李家旭,男,1935,河北安次,3,家旭,家,10,宀,jiā,1,旭,6,日,xù,2
邴长青,男,1944,吉林省辉南县,3,长青,长,4,长,cháng,1,青,8,青,qīng,1
杨宗科,男,1963,陕西省岐山县,3,宗科,宗,8,宀,zōng,1,科,9,禾,kē,1
丁世学,男,1962,湖北麻城,3,世学,世,5,一,shì,1,学,8,子,xué,1
刘艺新,男,1964,湖北天门,3,艺新,艺,4,艹,yì,1,新,13,斤,xīn,1
余腾达,男,1978,云南威信,3,腾达,腾,13,月,téng,1,达,6,辶,dá,1
邱佳妮,女,1993,上海,3,佳妮,佳,8,亻,jiā,1,妮,8,女,nī,3
张玉鑫,男,1969,山东济宁,3,玉鑫,玉,5,玉,yù,1,鑫,24,金,xīn,3
邢昭林,男,1997,河南省郑州市金水区,3,昭林,昭,9,日,zhāo,2,林,8,木,lín,1
阮观东,男,1952,河南新县,3,观东,观,6,见,guān,1,东,5,一,dōng,1
李沅娣,女,1993,黑龙江大庆,3,沅娣,沅,7,氵,yuán,3,娣,10,女,dì,3
彭兴业,男,1956,北京怀柔,3,兴业,兴,6,八,xīng,1,业,5,业,yè,1
王心舒,女,1993,江西省九江市,3,心舒,心,4,心,xīn,1,舒,12,舌,shū,1
张梦莹,女,1993,黑龙剑齐齐哈尔,3,梦莹,梦,11,木,mèng,1,莹,10,艹,yíng,2
徐世焘,男,1919,浙江鄞县,3,世焘,世,5,一,shì,1,焘,11,灬,tāo,3
杨棋珺,女,1993,湖南怀化,3,棋珺,棋,12,木,qí,1,珺,11,王,jùn,3
康敬良,男,1946,黑龙江省鹤岗市,3,敬良,敬,12,攵,jìng,1,良,7,艮,liáng,1
兰昭勇,男,1963,贵州晴隆,3,昭勇,昭,9,日,zhāo,2,勇,9,力,yǒng,1
郑生新,男,1968,甘肃省民乐市,3,生新,生,5,生,shēng,1,新,13,斤,xīn,1
邱明宏,男,1970,陕西宁强,3,明宏,明,8,日,míng,1,宏,7,宀,hóng,1
刘德跃,男,1964,山西曲沃,3,德跃,德,15,彳,dé,1,跃,11,足,yuè,1
谢先德,男,1934,江苏镇江,3,先德,先,6,儿,xiān,1,德,15,彳,dé,1
杨露璐,女,1993,北京,3,露璐,露,21,雨,lù,1,璐,17,王,lù,3
张安疆,男,1971,甘肃景泰,3,安疆,安,6,宀,ān,1,疆,19,田,jiāng,1
郭定富,男,1948,湖北随州,3,定富,定,8,宀,dìng,1,富,12,宀,fù,1
王梓媛,女,1993,湖南永州,3,梓媛,梓,11,木,zǐ,3,媛,12,女,yuán,3
欧廷前,男,1947,江苏睢宁,3,廷前,廷,6,廴,tíng,2,前,9,刂,qián,1
王施佳,女,1993,辽宁,3,施佳,施,9,方,shī,1,佳,8,亻,jiā,1
焦远超,男,1967,河南鲁山,3,远超,远,7,辶,yuǎn,1,超,12,走,chāo,1
谢尚果,男,1963,广西贵港,3,尚果,尚,8,小,shàng,1,果,8,木,guǒ,1
肖小武,男,1973,江西永新,3,小武,小,3,小,xiǎo,1,武,8,止,wǔ,1
胥泽联,男,1967,云南麒麟,3,泽联,泽,8,氵,zé,1,联,12,耳,lián,1
古春生,男,1971,安徽省繁昌县新港镇矶山村,3,春生,春,9,日,chūn,1,生,5,生,shēng,1
鲜跃仲,男,1971,四川,3,跃仲,跃,11,足,yuè,1,仲,6,亻,zhòng,2
龚大国,男,1953,湖北大悟,3,大国,大,3,大,dà,1,国,8,囗,guó,1
于宗富,男,1972,山东潍坊,3,宗富,宗,8,宀,zōng,1,富,12,宀,fù,1
王钟瑶,女,1993,吉林长春,3,钟瑶,钟,9,钅,zhōng,1,瑶,14,王,yáo,3
于俊祥,男,1960,天津,3,俊祥,俊,9,亻,jùn,1,祥,10,礻,xiáng,1
马跃荣,男,1956,四川高县,3,跃荣,跃,11,足,yuè,1,荣,9,艹,róng,1
缪正刚,男,1965,浙江余姚,3,正刚,正,5,止,zhèng,1,刚,6,刂,gāng,1
鸭圣婆,女,1993,福建,3,圣婆,圣,5,土,shèng,1,婆,11,女,pó,1
程慕轩,女,1993,北京,3,慕轩,慕,14,小,mù,1,轩,7,车,xuān,2
徐申东,女,1993,上海,3,申东,申,5,田,shēn,1,东,5,一,dōng,1
蔡祥麟,男,1952,北京,3,祥麟,祥,10,礻,xiáng,1,麟,23,鹿,lín,3
彭彩金,女,1993,广东兴宁市,3,彩金,彩,11,彡,cǎi,1,金,8,金,jīn,1
邱贻可,男,1985,四川 成都,3,贻可,贻,9,贝,yí,3,可,5,口,kě,1
郝婉晴,女,1993,山东省,3,婉晴,婉,11,女,wǎn,2,晴,12,日,qíng,1
杜晓勤,男,1967,江苏如皋,3,晓勤,晓,10,日,xiǎo,1,勤,13,力,qín,1
林良传,男,1950,广东省陆丰市碣石镇,3,良传,良,7,艮,liáng,1,传,6,亻,chuán,1
全修治,男,1955,重庆开县,3,修治,修,9,亻,xiū,1,治,8,氵,zhì,1
孙莱祥,男,1942,江苏无锡,3,莱祥,莱,10,艹,lái,2,祥,10,礻,xiáng,1
张歆莹,女,1993,山东省潍坊市,3,歆莹,歆,13,欠,xīn,3,莹,10,艹,yíng,2
荣新江,男,1960,天津,3,新江,新,13,斤,xīn,1,江,6,氵,jiāng,1
杨德炳,男,1938,湖南,3,德炳,德,15,彳,dé,1,炳,9,火,bǐng,3
冯璧晴,女,1993,天津,3,璧晴,璧,18,玉,bì,2,晴,12,日,qíng,1
邓祺伟,男,1965,广东鹤山,3,祺伟,祺,12,礻,qí,3,伟,6,亻,wěi,1
陈小野,男,1962,广东省揭西县,3,小野,小,3,小,xiǎo,1,野,11,里,yě,1
梁印,男,1993,重庆大足,2,印,印,5,卩,yìn,1,印,0,0,0,0
卞新龙,男,1969,山东省济宁市,3,新龙,新,13,斤,xīn,1,龙,5,龙,lóng,1
马悦凯,男,1975,安徽宿州,3,悦凯,悦,10,忄,yuè,1,凯,8,几,kǎi,1
龙学甫,男,1945,江西永新县,3,学甫,学,8,子,xué,1,甫,7,用,fǔ,2
韩耀成,男,1934,浙江长兴,3,耀成,耀,20,羽,yào,1,成,6,戈,chéng,1
庄金萍,女,1993,安徽省铜陵市,3,金萍,金,8,金,jīn,1,萍,11,艹,píng,1
任克礼,男,1936,安徽无为,3,克礼,克,7,十,kè,1,礼,5,礻,lǐ,1
王凯琪,女,1993,四川凉山彝族自治州普格县,3,凯琪,凯,8,几,kǎi,1,琪,12,王,qí,3
朴智妍,女,1993,韩国首尔特别市松坡区梧琴洞,3,智妍,智,12,日,zhì,1,妍,7,女,yán,3
毛楚云,男,1960,浙江温岭,3,楚云,楚,13,木,chǔ,1,云,4,二,yún,1
黎雅君,女,1993,广东省惠州市龙门县,3,雅君,雅,12,隹,yǎ,1,君,7,口,jūn,1
宗良荣,男,1931,湖北汉阳,3,良荣,良,7,艮,liáng,1,荣,9,艹,róng,1
韦伯永,男,1973,广西上林县,3,伯永,伯,7,亻,bó,1,永,5,水,yǒng,1
侯春楼,男,1937,湖南省望城,3,春楼,春,9,日,chūn,1,楼,13,木,lóu,1
胡春元,男,1969,福建,3,春元,春,9,日,chūn,1,元,4,儿,yuán,1
孙广,男,1972,山东海阳,2,广,广,3,广,guǎng,1,广,0,0,0,0
张亦扬,女,1993,河南郑州,3,亦扬,亦,6,亠,yì,1,扬,6,扌,yáng,1
叶君荣,男,1977,福建周宁,3,君荣,君,7,口,jūn,1,荣,9,艹,róng,1
曾存,男,1965,四川广安,2,存,存,6,子,cún,1,存,0,0,0,0
游强进,男,1959,湖北孝感,3,强进,强,12,弓,qiáng,1,进,7,辶,jìn,1
庄心妍,女,1993,广东省汕尾市陆丰区,3,心妍,心,4,心,xīn,1,妍,7,女,yán,3
黄兆函,女,1993,北京市,3,兆函,兆,6,儿,zhào,1,函,8,凵,hán,2
邰正宵,男,1966,香港,3,正宵,正,5,止,zhèng,1,宵,10,宀,xiāo,1
邱维程,男,1922,山东滨州,3,维程,维,11,纟,wéi,1,程,12,禾,chéng,1
常盘兴,男,1937,江苏,3,盘兴,盘,11,皿,pán,1,兴,6,八,xīng,1
高颂,女,1992,黑龙江,2,颂,颂,10,页,sòng,1,颂,0,0,0,0
戴斌荣,男,1964,江苏阜宁,3,斌荣,斌,12,文,bīn,3,荣,9,艹,róng,1
杨继麟,男,1937,云南马关县,3,继麟,继,10,纟,jì,1,麟,23,鹿,lín,3
周雯婷,女,1993,江苏省苏州,3,雯婷,雯,12,雨,wén,3,婷,12,女,tíng,3
李景鹏,男,1932,辽宁省辽阳县,3,景鹏,景,12,日,jǐng,1,鹏,13,鸟,péng,2
眭禄,女,1992,湖南省株洲市芦淞区,2,禄,禄,12,礻,lù,3,禄,0,0,0,0
龙开泉,男,1964,贵州天柱,3,开泉,开,4,廾,kāi,1,泉,9,水,quán,1
单果潍,男,1962,山东威海乳山,3,果潍,果,8,木,guǒ,1,潍,14,氵,wéi,3
郭兆虎,男,1963,宁夏海原,3,兆虎,兆,6,儿,zhào,1,虎,8,虍,hǔ,1
周常勇,男,1965,湖南省安仁县,3,常勇,常,11,巾,cháng,1,勇,9,力,yǒng,1
汪光汉,男,1939,浙江衢州,3,光汉,光,6,儿,guāng,1,汉,5,氵,hàn,1
散云贵,男,1931,湖北,3,云贵,云,4,二,yún,1,贵,9,贝,guì,1
明奎海,男,1937,北京朝阳区,3,奎海,奎,9,大,kuí,3,海,10,氵,hǎi,1
雷三忠,男,1968,湖南东安,3,三忠,三,3,一,sān,1,忠,8,心,zhōng,1
李伯敬,男,1946,云南昆明,3,伯敬,伯,7,亻,bó,1,敬,12,攵,jìng,1
文廷海,男,1970,四川安岳,3,廷海,廷,6,廴,tíng,2,海,10,氵,hǎi,1
吴道槐,男,1963,湖南华容,3,道槐,道,12,辶,dào,1,槐,13,木,huái,1
薛江东,男,1956,江苏徐州,3,江东,江,6,氵,jiāng,1,东,5,一,dōng,1
何萍高,男,1956,江西萍乡,3,萍高,萍,11,艹,píng,1,高,10,高,gāo,1
吴靖平,男,1963,安徽巢县,3,靖平,靖,13,青,jìng,2,平,5,干,píng,1
章吟秋,男,1963,安徽宣州,3,吟秋,吟,7,口,yín,2,秋,9,禾,qiū,1
王协,男,1962,山东济阳,2,协,协,6,十,xié,1,协,0,0,0,0
何进威,男,1964,广东阳江,3,进威,进,7,辶,jìn,1,威,9,女,wēi,1
辰亦儒,男,1980,台湾省台北市,3,亦儒,亦,6,亠,yì,1,儒,16,亻,rú,2
杨伊琳,女,1992,广东省广州市花都区狮岭镇杨二村,3,伊琳,伊,6,亻,yī,2,琳,12,王,lín,2
吴承敏,男,1972,海南澄迈,3,承敏,承,8,手,chéng,1,敏,11,攵,mǐn,1
关海庭,男,1954,吉林梅河口市,3,海庭,海,10,氵,hǎi,1,庭,9,广,tíng,1
黄炎蕾,女,1992,安徽亳州,3,炎蕾,炎,8,火,yán,1,蕾,16,艹,lěi,2
许荣茂,男,1950,福建石狮,3,荣茂,荣,9,艹,róng,1,茂,8,艹,mào,1
姚润文,男,1967,云南丽江,3,润文,润,10,氵,rùn,1,文,4,文,wén,1
杨东岳,男,1929,山东历城,3,东岳,东,5,一,dōng,1,岳,8,山,yuè,2
谈光庭,男,1950,湖南湘阴,3,光庭,光,6,儿,guāng,1,庭,9,广,tíng,1
闻学泽,男,1954,广东,3,学泽,学,8,子,xué,1,泽,8,氵,zé,1
何伊娜,女,1992,重庆,3,伊娜,伊,6,亻,yī,2,娜,9,女,nà,2
洪石成,男,1948,台湾,3,石成,石,5,石,shí,1,成,6,戈,chéng,1
白雪,女,1992,江西省九江市,2,雪,雪,11,雨,xuě,1,雪,0,0,0,0
赵婉婷,女,1992,重庆,3,婉婷,婉,11,女,wǎn,2,婷,12,女,tíng,3
王义恒,男,1950,湖北武汉,3,义恒,义,3,丶,yì,1,恒,9,忄,héng,1
束华,男,1957,江苏仪征,2,华,华,6,十,huá,1,华,0,0,0,0
缪淮扣,男,1953,上海,3,淮扣,淮,11,氵,huái,2,扣,6,扌,kòu,1
董有福,男,1976,河南信阳,3,有福,有,6,月,yǒu,1,福,13,礻,fú,1
陈行银,男,1956,湖北兴山,3,行银,行,6,行,xíng,1,银,11,钅,yín,1
冯寿农,男,1950,福建省仙游县,3,寿农,寿,7,寸,shòu,1,农,6,冖,nóng,1
冯治良,男,1974,甘肃靖远,3,治良,治,8,氵,zhì,1,良,7,艮,liáng,1
陈子阳,女,1992,江苏徐州,3,子阳,子,3,子,zǐ,1,阳,6,阝,yáng,1
张晖明,男,1956,江苏南通市,3,晖明,晖,10,日,huī,3,明,8,日,míng,1
邢念增,男,1967,山东沂南,3,念增,念,8,心,niàn,1,增,15,土,zēng,1
宋绍年,男,1949,浙江绍兴,3,绍年,绍,8,纟,shào,1,年,6,干,nián,1
贝娣,女,1992,北京,2,娣,娣,10,女,dì,3,娣,0,0,0,0
郭作贵,男,1954,山东济阳,3,作贵,作,7,亻,zuò,1,贵,9,贝,guì,1
茅声禄,男,1966,福建沙县,3,声禄,声,7,士,shēng,1,禄,12,礻,lù,3
刘振立,男,1964,河北栾城,3,振立,振,10,扌,zhèn,1,立,5,立,lì,1
曾庆敦,男,1956,广东兴宁,3,庆敦,庆,6,广,qìng,1,敦,12,攵,dūn,2
雷汝海,男,1961,安徽省砀山县,3,汝海,汝,6,氵,rǔ,3,海,10,氵,hǎi,1
黄秋爽,女,1992,湖北省襄阳市,3,秋爽,秋,9,禾,qiū,1,爽,11,爻,shuǎng,1
张雅晴,男,1982,河北邯郸,3,雅晴,雅,12,隹,yǎ,1,晴,12,日,qíng,1
严家炎,男,1933,上海,3,家炎,家,10,宀,jiā,1,炎,8,火,yán,1
罗荣昌,男,1966,甘肃省天水市秦州区,3,荣昌,荣,9,艹,róng,1,昌,8,日,chāng,1
耿庆彦,男,1950,河北省赵县,3,庆彦,庆,6,广,qìng,1,彦,9,彡,yàn,3
冯志高,男,1962,福建福州,3,志高,志,7,心,zhì,1,高,10,高,gāo,1
袁文先,男,1951,安徽利辛,3,文先,文,4,文,wén,1,先,6,儿,xiān,1
姜润根,男,1957,江西南昌县人,3,润根,润,10,氵,rùn,1,根,10,木,gēn,1
林焕,女,1992,河南省洛阳,2,焕,焕,11,火,huàn,2,焕,0,0,0,0
翟朝生,男,1956,山西襄汾县,3,朝生,朝,12,月,cháo,1,生,5,生,shēng,1
宋业纯,男,1973,山东荣城,3,业纯,业,5,业,yè,1,纯,7,纟,chún,1
詹才红,男,1966,湖北黄州,3,才红,才,3,扌,cái,1,红,6,纟,hóng,1
张烨佳,女,1992,上海,3,烨佳,烨,10,火,yè,3,佳,8,亻,jiā,1
门佳慧,女,1992,辽宁大连,3,佳慧,佳,8,亻,jiā,1,慧,15,心,huì,1
郭金莹,女,1992,黑龙江省鹤岗市萝北县,3,金莹,金,8,金,jīn,1,莹,10,艹,yíng,2
祝绪丹,女,1992,黑龙江齐齐哈尔市,3,绪丹,绪,11,纟,xù,1,丹,4,丶,dān,1
甘尚时,男,1931,广东省信宜县,3,尚时,尚,8,小,shàng,1,时,7,日,shí,1
成秉文,男,1950,辽宁阜新,3,秉文,秉,8,禾,bǐng,2,文,4,文,wén,1
朴南奎,男,1933,黑龙江省佳木斯市,3,南奎,南,9,十,nán,1,奎,9,大,kuí,3
谭乃风,男,1931,重庆市万县,3,乃风,乃,2,丿,nǎi,1,风,4,风,fēng,1
李明诚,男,1935,北京市,3,明诚,明,8,日,míng,1,诚,8,讠,chéng,1
吴三九,男,1962,安徽安庆,3,三九,三,3,一,sān,1,九,2,丿,jiǔ,1
田雁南,男,1967,内蒙古乌兰浩特,3,雁南,雁,12,隹,yàn,1,南,9,十,nán,1
廖家桢,男,1930,福建省长汀县,3,家桢,家,10,宀,jiā,1,桢,10,木,zhēn,3
黄道奇,男,1924,湖南湘潭,3,道奇,道,12,辶,dào,1,奇,8,大,qí,1
宗一童,女,1992,辽宁沈阳,3,一童,一,1,一,yī,1,童,12,立,tóng,1
王洋,女,1992,湖北荆门,2,洋,洋,9,氵,yáng,1,洋,0,0,0,0
孙述涛,男,1965,山东高密,3,述涛,述,8,辶,shù,1,涛,10,氵,tāo,1
秦立春,男,1966,湖南湘阴,3,立春,立,5,立,lì,1,春,9,日,chūn,1
丁胜洪,男,1954,山东省烟台市,3,胜洪,胜,9,月,shèng,1,洪,9,氵,hóng,1
童安格,男,1959,台湾高雄,3,安格,安,6,宀,ān,1,格,10,木,gé,1
秦东春,男,1963,河南省鹤壁市,3,东春,东,5,一,dōng,1,春,9,日,chūn,1
柳侑绮,女,1992,四川成都,3,侑绮,侑,8,亻,yòu,3,绮,11,纟,qǐ,3
齐良末,男,1938,北京,3,良末,良,7,艮,liáng,1,末,5,木,mò,1
温植茸,男,1966,辽宁省康平县,3,植茸,植,12,木,zhí,1,茸,9,艹,róng,2
刘永堂,男,1956,甘肃靖远,3,永堂,永,5,水,yǒng,1,堂,11,土,táng,1
曹琦彬,男,1984,湖南,3,琦彬,琦,12,王,qí,3,彬,11,彡,bīn,2
陈光祚,男,1935,浙江省衢州柯城,3,光祚,光,6,儿,guāng,1,祚,9,礻,zuò,3
马千惠,女,1992,辽宁,3,千惠,千,3,十,qiān,1,惠,12,心,huì,1
姜继勤,男,1950,黑龙江明水,3,继勤,继,10,纟,jì,1,勤,13,力,qín,1
邱德勇,男,1963,四川省汉源县,3,德勇,德,15,彳,dé,1,勇,9,力,yǒng,1
吴丹尼,女,1992,湖南省常德市,3,丹尼,丹,4,丶,dān,1,尼,5,尸,ní,1
车定邦,男,1947,陕西洛川,3,定邦,定,8,宀,dìng,1,邦,6,阝,bāng,2
尤新,男,1931,江苏江阴,2,新,新,13,斤,xīn,1,新,0,0,0,0
傅云新,男,1962,湖北省仙桃市,3,云新,云,4,二,yún,1,新,13,斤,xīn,1
何乐逸,女,1992,浙江青田,3,乐逸,乐,5,丿,lè,1,逸,11,辶,yì,2
兰吉阳,男,1965,广西宜州,3,吉阳,吉,6,口,jí,1,阳,6,阝,yáng,1
曹俊兴,男,1961,陕西省长武县,3,俊兴,俊,9,亻,jùn,1,兴,6,八,xīng,1
倪福全,男,1965,四川省崇州市,3,福全,福,13,礻,fú,1,全,6,入,quán,1
付宇峰,男,1972,黑龙江克山,3,宇峰,宇,6,宀,yǔ,1,峰,10,山,fēng,1
钱冠林,男,1946,江苏阜宁,3,冠林,冠,9,冖,guàn,1,林,8,木,lín,1
杨茂庆,男,1982,江苏溧阳,3,茂庆,茂,8,艹,mào,1,庆,6,广,qìng,1
卢小娟,女,1992,福建省龙岩,3,小娟,小,3,小,xiǎo,1,娟,10,女,juān,3
周冬雨,女,1992,河北省石家庄市,3,冬雨,冬,5,冫,dōng,1,雨,8,雨,yǔ,1
胡国铤,男,1940,江西上犹,3,国铤,国,8,囗,guó,1,铤,11,钅,dìng,3
罗怡静,女,1992,广西,3,怡静,怡,8,忄,yí,3,静,14,青,jìng,1
毛建祥,男,1965,湖南涟源,3,建祥,建,8,廴,jiàn,1,祥,10,礻,xiáng,1
张伯恩,男,1936,浙江湖州,3,伯恩,伯,7,亻,bó,1,恩,10,心,ēn,1
